Timestamp,ComputerName,Hostname,Domain,Source,Channel,EventRecordID,EventID,Level,TaskCategory,Keywords,User,Process,IP,Description,Correlation
2025-10-12 07:07:00,CORP-SRV-017,host6.corp.local,CORP.LOCAL,Microsoft-Windows-Eventlog,System,1000095,7036,Information,Process Creation,Audit Failure,SYSTEM,winlogon.exe,10.1.4.214,The service entered the running state.,{00000000-0000-0000-0000-000000000000}
2025-10-07 06:09:00,CORP-SRV-012,host5.corp.local,CORP.LOCAL,Winlogon,Security,1000054,4625,Warning,Service Control Manager,Security,-,winlogon.exe,10.1.5.19,An account failed to log on. Failure Reason: Unknown username or bad password; Account: N/A.,{00000000-0000-0000-0000-000000000000}
2025-10-07 11:18:00,CORP-SRV-006,host10.corp.local,CORP.LOCAL,Windows Firewall with Advanced Security,System,1000059,7045,Information,Policy Change,Classic,SYSTEM,lsass.exe,10.1.1.160,A service was installed in the system.,{00000000-0000-0000-0000-000000000000}
2025-10-14 20:43:00,CORP-SRV-008,host8.corp.local,CORP.LOCAL,Service Control Manager,Security,1000117,5156,Information,Logon,Security,SYSTEM,lsass.exe,10.1.5.193,The Windows Filtering Platform has permitted a connection.,{00000000-0000-0000-0000-000000000000}
2025-10-09 19:05:00,CORP-SRV-020,host8.corp.local,CORP.LOCAL,Microsoft-Windows-Security-Auditing,Security,1000077,4688,Information,Process Creation,Security,CORP\alice,svchost.exe,10.1.2.96,A new process has been created: sqlservr.exe; CommandLine: 'sqlservr.exe --run'.,{00000000-0000-0000-0000-000000000000}
2025-10-06 15:09:00,CORP-SRV-017,host7.corp.local,CORP.LOCAL,Microsoft-Windows-Eventlog,Security,1000046,4625,Warning,Network,Application,-,svchost.exe,10.1.5.17,An account failed to log on. Failure Reason: Unknown username or bad password; Account: N/A.,{00000000-0000-0000-0000-000000000000}
2025-10-04 23:38:00,CORP-SRV-012,host2.corp.local,CORP.LOCAL,Microsoft-Windows-Security-Auditing,Security,1000031,4625,Warning,Network,Application,CORP\unknown,sqlservr.exe,10.1.1.239,An account failed to log on. Failure Reason: Unknown username or bad password; Account: CORP\unknown.,{00000000-0000-0000-0000-000000000000}
2025-10-10 03:25:00,CORP-SRV-001,host2.corp.local,CORP.LOCAL,Microsoft-Windows-Security-Auditing,Security,1000081,5156,Information,System,Classic,SYSTEM,svchost.exe,10.1.3.158,The Windows Filtering Platform has permitted a connection.,{00000000-0000-0000-0000-000000000000}
2025-10-06 21:26:00,CORP-SRV-002,host9.corp.local,CORP.LOCAL,Kernel-Power,Security,1000048,4624,Information,Service Control Manager,Audit Success,CORP\svc_backup,winlogon.exe,10.1.1.151,An account was successfully logged on. Subject: svc_backup; Logon Type: 3.,{00000000-0000-0000-0000-000000000000}
2025-10-12 11:03:00,CORP-SRV-016,host9.corp.local,CORP.LOCAL,Service Control Manager,Security,1000098,5156,Information,Process Creation,Audit Failure,SYSTEM,winlogon.exe,10.1.2.165,The Windows Filtering Platform has permitted a connection.,{00000000-0000-0000-0000-000000000000}
